Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
00126,42990.6,21600s (~6 hours),16200s (~4.5 hours),9000s (~2.5 hours)
00127,45672.4,21600s (~6 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00128,54984.9,27000s (~7.5 hours),25200s (~7 hours),9000s (~2.5 hours)
00129,38842.2,25200s (~7 hours),14400s (~4 hours),7200s (~2 hours)
00130,51816.3,21600s (~6 hours),18000s (~5 hours),5400s (~1.5 hours)
00131,39290.15,23400s (~6.5 hours),16200s (~4.5 hours),9000s (~2.5 hours)
00132,41617.95,18000s (~5 hours),14400s (~4 hours),9000s (~2.5 hours)
00133,65290.95,25200s (~7 hours),21600s (~6 hours),9000s (~2.5 hours)
00134,57997.9,23400s (~6.5 hours),19800s (~5.5 hours),10800s (~3 hours)
00135,60988.75,25200s (~7 hours),21600s (~6 hours),9000s (~2.5 hours)
00136,79876.05,25200s (~7 hours),21600s (~6 hours),10800s (~3 hours)
00137,35977.15,23400s (~6.5 hours),19800s (~5.5 hours),1800s (~30 minutes)
00138,62792.1,23400s (~6.5 hours),21600s (~6 hours),14400s (~4 hours)
00139,43952.05,30600s (~8.5 hours),25200s (~7 hours),3600s (~1 hours)
00140,43802,25200s (~7 hours),19800s (~5.5 hours),7200s (~2 hours)
00141,44205.35,27000s (~7.5 hours),21600s (~6 hours),5400s (~1.5 hours)
00142,76663.09999999998,25200s (~7 hours),21600s (~6 hours),12600s (~3.5 hours)
00143,47741.15,21600s (~6 hours),18000s (~5 hours),9000s (~2.5 hours)
00144,43281.1,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
00145,34341.65,14400s (~4 hours),14400s (~4 hours),7200s (~2 hours)
00146,51039.65,23400s (~6.5 hours),21600s (~6 hours),10800s (~3 hours)
00147,35975.65,19800s (~5.5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
00148,41580.29999999999,19800s (~5.5 hours),16200s (~4.5 hours),7200s (~2 hours)
00149,46475.04999999999,27000s (~7.5 hours),16200s (~4.5 hours),9000s (~2.5 hours)
00150,35123.3,21600s (~6 hours),18000s (~5 hours),3600s (~1 hours)
00151,35296.65,21600s (~6 hours),18000s (~5 hours),5400s (~1.5 hours)
00152,31141.45,25200s (~7 hours),18000s (~5 hours),1800s (~30 minutes)
00153,44798.75,25200s (~7 hours),21600s (~6 hours),9000s (~2.5 hours)
00154,68167.55,21600s (~6 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00155,36057.95,18000s (~5 hours),14400s (~4 hours),9000s (~2.5 hours)
00156,36633.25,23400s (~6.5 hours),16200s (~4.5 hours),7200s (~2 hours)
00157,55732.7,28800s (~8 hours),21600s (~6 hours),10800s (~3 hours)
00158,45873.5,23400s (~6.5 hours),18000s (~5 hours),5400s (~1.5 hours)
00159,31824.25,23400s (~6.5 hours),21600s (~6 hours),1800s (~30 minutes)
00160,47524.70000000001,25200s (~7 hours),23400s (~6.5 hours),7200s (~2 hours)
00161,36013.85,21600s (~6 hours),16200s (~4.5 hours),5400s (~1.5 hours)
00162,48587.95,25200s (~7 hours),18000s (~5 hours),9000s (~2.5 hours)
00163,41915.6,23400s (~6.5 hours),18000s (~5 hours),7200s (~2 hours)
00164,45727.9,19800s (~5.5 hours),18000s (~5 hours),7200s (~2 hours)
00165,39874.85,19800s (~5.5 hours),18000s (~5 hours),7200s (~2 hours)
00166,43088.95,25200s (~7 hours),18000s (~5 hours),7200s (~2 hours)
00167,49617.79999999999,28800s (~8 hours),23400s (~6.5 hours),3600s (~1 hours)
00168,38033.95,18000s (~5 hours),14400s (~4 hours),7200s (~2 hours)
00169,43857.1,23400s (~6.5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
00170,62973.6,28800s (~8 hours),23400s (~6.5 hours),9000s (~2.5 hours)
00171,50930.5,25200s (~7 hours),18000s (~5 hours),5400s (~1.5 hours)
00172,39667.8,21600s (~6 hours),14400s (~4 hours),5400s (~1.5 hours)
00173,48047.5,23400s (~6.5 hours),21600s (~6 hours),7200s (~2 hours)
00174,39837.85,27000s (~7.5 hours),21600s (~6 hours),5400s (~1.5 hours)
00175,51570.2,30600s (~8.5 hours),25200s (~7 hours),7200s (~2 hours)
00176,51840.65,25200s (~7 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00177,62065.45,23400s (~6.5 hours),21600s (~6 hours),10800s (~3 hours)
00178,37246.55,21600s (~6 hours),18000s (~5 hours),7200s (~2 hours)
00179,40190.2,25200s (~7 hours),18000s (~5 hours),5400s (~1.5 hours)
00180,43252.75,27000s (~7.5 hours),25200s (~7 hours),3600s (~1 hours)
00181,55381.25,23400s (~6.5 hours),14400s (~4 hours),10800s (~3 hours)
00182,46976.65,30600s (~8.5 hours),21600s (~6 hours),7200s (~2 hours)
00183,51113.8,27000s (~7.5 hours),19800s (~5.5 hours),7200s (~2 hours)
00184,82060.15,23400s (~6.5 hours),18000s (~5 hours),12600s (~3.5 hours)
00185,41273,23400s (~6.5 hours),18000s (~5 hours),7200s (~2 hours)
00186,44760.05,23400s (~6.5 hours),18000s (~5 hours),9000s (~2.5 hours)
00187,41025.75,25200s (~7 hours),18000s (~5 hours),9000s (~2.5 hours)
00188,63519.45,23400s (~6.5 hours),23400s (~6.5 hours),7200s (~2 hours)
00189,64079.9,27000s (~7.5 hours),23400s (~6.5 hours),9000s (~2.5 hours)
00190,51150.7,25200s (~7 hours),21600s (~6 hours),5400s (~1.5 hours)
00191,57879.6,27000s (~7.5 hours),21600s (~6 hours),5400s (~1.5 hours)
00192,41579.7,27000s (~7.5 hours),19800s (~5.5 hours),7200s (~2 hours)
00193,53668.7,25200s (~7 hours),25200s (~7 hours),7200s (~2 hours)
00194,49600.25,19800s (~5.5 hours),14400s (~4 hours),9000s (~2.5 hours)
00195,56461.5,25200s (~7 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00196,47684.65,25200s (~7 hours),21600s (~6 hours),5400s (~1.5 hours)
00197,56419.25,25200s (~7 hours),21600s (~6 hours),9000s (~2.5 hours)
00198,34014,21600s (~6 hours),16200s (~4.5 hours),5400s (~1.5 hours)
00199,51881.95,25200s (~7 hours),21600s (~6 hours),9000s (~2.5 hours)
00200,54060.29999999999,23400s (~6.5 hours),16200s (~4.5 hours),9000s (~2.5 hours)
00201,47363.4,21600s (~6 hours),14400s (~4 hours),9000s (~2.5 hours)
00202,43063.9,25200s (~7 hours),18000s (~5 hours),9000s (~2.5 hours)
00203,51437,23400s (~6.5 hours),14400s (~4 hours),9000s (~2.5 hours)
00204,50523.55,27000s (~7.5 hours),21600s (~6 hours),9000s (~2.5 hours)
00205,51783.45,21600s (~6 hours),16200s (~4.5 hours),9000s (~2.5 hours)
00206,37591.35,21600s (~6 hours),19800s (~5.5 hours),3600s (~1 hours)
00207,41396.7,19800s (~5.5 hours),16200s (~4.5 hours),7200s (~2 hours)
00208,52873.04999999999,19800s (~5.5 hours),16200s (~4.5 hours),7200s (~2 hours)
00209,57252.29999999999,21600s (~6 hours),14400s (~4 hours),10800s (~3 hours)
00210,68223.35,30600s (~8.5 hours),27000s (~7.5 hours),7200s (~2 hours)
00211,46769.29999999999,21600s (~6 hours),16200s (~4.5 hours),5400s (~1.5 hours)
00212,53986.75,18000s (~5 hours),16200s (~4.5 hours),10800s (~3 hours)
00213,37407.8,23400s (~6.5 hours),14400s (~4 hours),5400s (~1.5 hours)
