Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
0166,36478.85,19800s (~5.5 hours),14400s (~4 hours),7200s (~2 hours)
0167,39004.85,23400s (~6.5 hours),19800s (~5.5 hours),3600s (~1 hours)
0168,41065.35,27000s (~7.5 hours),19800s (~5.5 hours),3600s (~1 hours)
0169,51124.95,25200s (~7 hours),19800s (~5.5 hours),5400s (~1.5 hours)
0170,44068.6,19800s (~5.5 hours),14400s (~4 hours),5400s (~1.5 hours)
0171,30797.65,21600s (~6 hours),16200s (~4.5 hours),3600s (~1 hours)
0172,45532.29999999999,25200s (~7 hours),14400s (~4 hours),5400s (~1.5 hours)
0173,39835.45,23400s (~6.5 hours),16200s (~4.5 hours),7200s (~2 hours)
0174,40939.1,23400s (~6.5 hours),18000s (~5 hours),7200s (~2 hours)
0175,56535.35,21600s (~6 hours),19800s (~5.5 hours),7200s (~2 hours)
0176,36109.549999999996,16200s (~4.5 hours),14400s (~4 hours),5400s (~1.5 hours)
0177,54200.15,19800s (~5.5 hours),14400s (~4 hours),9000s (~2.5 hours)
0178,34740.95,18000s (~5 hours),12600s (~3.5 hours),7200s (~2 hours)
0179,51548.85,21600s (~6 hours),16200s (~4.5 hours),7200s (~2 hours)
0180,34778,21600s (~6 hours),16200s (~4.5 hours),5400s (~1.5 hours)
0181,37187.3,23400s (~6.5 hours),18000s (~5 hours),3600s (~1 hours)
0182,55824.45,27000s (~7.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
0183,41575.85,25200s (~7 hours),19800s (~5.5 hours),5400s (~1.5 hours)
0184,49267.45,25200s (~7 hours),21600s (~6 hours),3600s (~1 hours)
0185,29475.45,19800s (~5.5 hours),14400s (~4 hours),3600s (~1 hours)
0186,37928.4,23400s (~6.5 hours),18000s (~5 hours),5400s (~1.5 hours)
0187,36841.2,21600s (~6 hours),18000s (~5 hours),3600s (~1 hours)
0188,43036.95,23400s (~6.5 hours),23400s (~6.5 hours),5400s (~1.5 hours)
0189,50330.7,19800s (~5.5 hours),14400s (~4 hours),9000s (~2.5 hours)
0190,34621.95,21600s (~6 hours),16200s (~4.5 hours),5400s (~1.5 hours)
0191,44245,19800s (~5.5 hours),14400s (~4 hours),10800s (~3 hours)
0192,40921.75,25200s (~7 hours),18000s (~5 hours),7200s (~2 hours)
0193,41294.25,25200s (~7 hours),21600s (~6 hours),5400s (~1.5 hours)
0194,37600.8,25200s (~7 hours),16200s (~4.5 hours),3600s (~1 hours)
0195,41807.45,19800s (~5.5 hours),19800s (~5.5 hours),7200s (~2 hours)
0196,44980.15,25200s (~7 hours),18000s (~5 hours),7200s (~2 hours)
0197,48624.5,18000s (~5 hours),18000s (~5 hours),7200s (~2 hours)
0198,45744,21600s (~6 hours),14400s (~4 hours),5400s (~1.5 hours)
0199,54838.04999999999,25200s (~7 hours),18000s (~5 hours),9000s (~2.5 hours)
0200,49608.1,21600s (~6 hours),14400s (~4 hours),7200s (~2 hours)
0201,47894.45,21600s (~6 hours),18000s (~5 hours),5400s (~1.5 hours)
0202,29120.6,21600s (~6 hours),16200s (~4.5 hours),3600s (~1 hours)
0203,36619.7,25200s (~7 hours),18000s (~5 hours),3600s (~1 hours)
0204,46554.7,25200s (~7 hours),21600s (~6 hours),7200s (~2 hours)
0205,34224.4,18000s (~5 hours),14400s (~4 hours),7200s (~2 hours)
0206,37654.35,27000s (~7.5 hours),19800s (~5.5 hours),3600s (~1 hours)
0207,35793.65,19800s (~5.5 hours),14400s (~4 hours),5400s (~1.5 hours)
0208,37110.55,21600s (~6 hours),18000s (~5 hours),5400s (~1.5 hours)
0209,46059.25,21600s (~6 hours),18000s (~5 hours),9000s (~2.5 hours)
0210,54807.85,23400s (~6.5 hours),18000s (~5 hours),9000s (~2.5 hours)
0211,43064.35,21600s (~6 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0212,46857.79999999999,23400s (~6.5 hours),18000s (~5 hours),9000s (~2.5 hours)
0213,39691.8,25200s (~7 hours),23400s (~6.5 hours),3600s (~1 hours)
0214,48187.45,19800s (~5.5 hours),18000s (~5 hours),5400s (~1.5 hours)
0215,66466.9,27000s (~7.5 hours),21600s (~6 hours),9000s (~2.5 hours)
0216,27142.75,19800s (~5.5 hours),14400s (~4 hours),3600s (~1 hours)
0217,52712.79999999999,18000s (~5 hours),16200s (~4.5 hours),9000s (~2.5 hours)
0218,45911,27000s (~7.5 hours),23400s (~6.5 hours),5400s (~1.5 hours)
0219,41050.75,23400s (~6.5 hours),23400s (~6.5 hours),3600s (~1 hours)
0220,37527.15,21600s (~6 hours),16200s (~4.5 hours),7200s (~2 hours)
0221,34365.8,19800s (~5.5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
0222,50610.7,19800s (~5.5 hours),16200s (~4.5 hours),7200s (~2 hours)
0223,37557.3,21600s (~6 hours),21600s (~6 hours),3600s (~1 hours)
0224,43980.7,19800s (~5.5 hours),14400s (~4 hours),5400s (~1.5 hours)
0225,47154.35,21600s (~6 hours),16200s (~4.5 hours),5400s (~1.5 hours)
0226,45977.6,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
0227,50243.45,23400s (~6.5 hours),18000s (~5 hours),5400s (~1.5 hours)
0228,50136.3,23400s (~6.5 hours),21600s (~6 hours),5400s (~1.5 hours)
0229,33022.4,19800s (~5.5 hours),18000s (~5 hours),3600s (~1 hours)
0230,44377.85,21600s (~6 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0231,47314.2,25200s (~7 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0232,37530.9,21600s (~6 hours),18000s (~5 hours),7200s (~2 hours)
0233,48176.1,18000s (~5 hours),14400s (~4 hours),7200s (~2 hours)
0234,66727.35,28800s (~8 hours),25200s (~7 hours),9000s (~2.5 hours)
0235,49861.4,23400s (~6.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
0236,35612.6,19800s (~5.5 hours),18000s (~5 hours),5400s (~1.5 hours)
0237,52828.75,21600s (~6 hours),18000s (~5 hours),7200s (~2 hours)
0238,51056.95,19800s (~5.5 hours),16200s (~4.5 hours),7200s (~2 hours)
0239,38655.85,25200s (~7 hours),18000s (~5 hours),5400s (~1.5 hours)
0240,49299.2,25200s (~7 hours),21600s (~6 hours),7200s (~2 hours)
0241,46083.4,25200s (~7 hours),21600s (~6 hours),5400s (~1.5 hours)
0242,54158.2,21600s (~6 hours),19800s (~5.5 hours),7200s (~2 hours)
0243,41915.95,23400s (~6.5 hours),16200s (~4.5 hours),9000s (~2.5 hours)
0244,35746.7,21600s (~6 hours),18000s (~5 hours),3600s (~1 hours)
0245,39547.5,25200s (~7 hours),19800s (~5.5 hours),3600s (~1 hours)
0246,43870.5,19800s (~5.5 hours),14400s (~4 hours),5400s (~1.5 hours)
0247,57672,27000s (~7.5 hours),21600s (~6 hours),7200s (~2 hours)
0248,50340.45,23400s (~6.5 hours),18000s (~5 hours),7200s (~2 hours)
0249,44187.35,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
0250,48860.7,23400s (~6.5 hours),21600s (~6 hours),7200s (~2 hours)
0251,41124.55,21600s (~6 hours),18000s (~5 hours),7200s (~2 hours)
0252,49490.5,23400s (~6.5 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0253,46349.4,23400s (~6.5 hours),18000s (~5 hours),9000s (~2.5 hours)
0254,35737.65,18000s (~5 hours),14400s (~4 hours),7200s (~2 hours)
0255,44806.5,23400s (~6.5 hours),18000s (~5 hours),7200s (~2 hours)
0256,59163.7,28800s (~8 hours),25200s (~7 hours),5400s (~1.5 hours)
0257,34973.2,23400s (~6.5 hours),19800s (~5.5 hours),3600s (~1 hours)
0258,50832.6,25200s (~7 hours),21600s (~6 hours),3600s (~1 hours)
