Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
0235,101514.5,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0236,123951.4,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0237,141052.15,39600s (~11 hours),39600s (~11 hours),30600s (~8.5 hours)
0238,129361.65,39600s (~11 hours),39600s (~11 hours),30600s (~8.5 hours)
0239,113589.8,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0240,135202.6,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0241,128669.45,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0242,111412.09999999998,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0243,76126.5,39600s (~11 hours),39600s (~11 hours),14400s (~4 hours)
0244,121527.05,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0245,97848.4,39600s (~11 hours),39600s (~11 hours),19800s (~5.5 hours)
0246,133059.7,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0247,140336.45,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0248,101589.05,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0249,103326.1,39600s (~11 hours),39600s (~11 hours),19800s (~5.5 hours)
0250,114775.9,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0251,118967.5,39600s (~11 hours),39600s (~11 hours),19800s (~5.5 hours)
0252,124788.25,39600s (~11 hours),39600s (~11 hours),30600s (~8.5 hours)
0253,112220.15,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0254,133391.75,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0255,137210.2,39600s (~11 hours),39600s (~11 hours),28800s (~8 hours)
0256,124282.9,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0257,112915.55,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0258,135727.69999999998,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0259,122569.15,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0260,127215.75,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0261,104856.2,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0262,97738.95,39600s (~11 hours),39600s (~11 hours),16200s (~4.5 hours)
0263,125652.84999999998,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0264,134868,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0265,129010.75,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0266,129965.9,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0267,82654.3,39600s (~11 hours),39600s (~11 hours),14400s (~4 hours)
0268,132307,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0269,116992.65,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0270,140825.5,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0271,141832.6,39600s (~11 hours),39600s (~11 hours),30600s (~8.5 hours)
0272,145718.3,39600s (~11 hours),39600s (~11 hours),30600s (~8.5 hours)
0273,132018.05,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0274,129515.95,39600s (~11 hours),39600s (~11 hours),18000s (~5 hours)
0275,126171.4,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0276,134629,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0277,111648.2,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0278,143666.4,39600s (~11 hours),39600s (~11 hours),30600s (~8.5 hours)
0279,105915.05,39600s (~11 hours),39600s (~11 hours),16200s (~4.5 hours)
0280,133126.65,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0281,117231.25,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0282,100791.15,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0283,149894.4,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0284,101829.1,39600s (~11 hours),39600s (~11 hours),18000s (~5 hours)
0285,148220,39600s (~11 hours),39600s (~11 hours),32400s (~9 hours)
0286,120173.09999999998,39600s (~11 hours),39600s (~11 hours),19800s (~5.5 hours)
0287,136069.85,39600s (~11 hours),39600s (~11 hours),27000s (~7.5 hours)
0288,115482.65,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0289,111043.45,39600s (~11 hours),39600s (~11 hours),19800s (~5.5 hours)
0290,130793.05,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0291,93561.2,39600s (~11 hours),39600s (~11 hours),19800s (~5.5 hours)
0292,168792.69999999995,39600s (~11 hours),39600s (~11 hours),32400s (~9 hours)
0293,134607.8,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0294,130433.4,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0295,134362.8,39600s (~11 hours),39600s (~11 hours),21600s (~6 hours)
0296,113341.6,39600s (~11 hours),39600s (~11 hours),23400s (~6.5 hours)
0297,112559.5,39600s (~11 hours),39600s (~11 hours),25200s (~7 hours)
0298,136500.75,39600s (~11 hours),39600s (~11 hours),32400s (~9 hours)
0299,83871.4,39600s (~11 hours),39600s (~11 hours),14400s (~4 hours)
