Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
00124,51274.35,27000s (~7.5 hours),25200s (~7 hours),7200s (~2 hours)
00125,64562.4,27000s (~7.5 hours),23400s (~6.5 hours),9000s (~2.5 hours)
00126,43066.04999999999,21600s (~6 hours),18000s (~5 hours),9000s (~2.5 hours)
00127,58903.04999999999,18000s (~5 hours),18000s (~5 hours),10800s (~3 hours)
00128,37968.25,23400s (~6.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
00129,64909.7,25200s (~7 hours),21600s (~6 hours),10800s (~3 hours)
00130,54122.1,21600s (~6 hours),16200s (~4.5 hours),12600s (~3.5 hours)
00131,41852.7,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
00132,50718.25,21600s (~6 hours),18000s (~5 hours),9000s (~2.5 hours)
00133,46599.9,23400s (~6.5 hours),21600s (~6 hours),7200s (~2 hours)
00134,36391.55,21600s (~6 hours),16200s (~4.5 hours),5400s (~1.5 hours)
00135,51898.04999999999,25200s (~7 hours),21600s (~6 hours),9000s (~2.5 hours)
00136,42194,23400s (~6.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
00137,48959.29999999999,25200s (~7 hours),21600s (~6 hours),7200s (~2 hours)
00138,35961.9,23400s (~6.5 hours),21600s (~6 hours),5400s (~1.5 hours)
00139,35240.35,23400s (~6.5 hours),16200s (~4.5 hours),7200s (~2 hours)
00140,56823.65,25200s (~7 hours),23400s (~6.5 hours),7200s (~2 hours)
00141,41136.2,21600s (~6 hours),18000s (~5 hours),7200s (~2 hours)
00142,56650.15,21600s (~6 hours),21600s (~6 hours),7200s (~2 hours)
00143,47819.7,25200s (~7 hours),23400s (~6.5 hours),7200s (~2 hours)
00144,48368.15,23400s (~6.5 hours),21600s (~6 hours),9000s (~2.5 hours)
00145,49057.54999999999,19800s (~5.5 hours),16200s (~4.5 hours),7200s (~2 hours)
00146,43121.9,25200s (~7 hours),21600s (~6 hours),5400s (~1.5 hours)
00147,50239.25,25200s (~7 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00148,44085.04999999999,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
00149,64212,19800s (~5.5 hours),19800s (~5.5 hours),10800s (~3 hours)
00150,35219.5,21600s (~6 hours),18000s (~5 hours),5400s (~1.5 hours)
00151,50723.4,23400s (~6.5 hours),19800s (~5.5 hours),9000s (~2.5 hours)
00152,43839.1,27000s (~7.5 hours),25200s (~7 hours),3600s (~1 hours)
00153,65026.25,21600s (~6 hours),18000s (~5 hours),10800s (~3 hours)
00154,40133.2,23400s (~6.5 hours),18000s (~5 hours),7200s (~2 hours)
00155,51250.45,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
00156,57304.8,21600s (~6 hours),18000s (~5 hours),10800s (~3 hours)
00157,53601.95,23400s (~6.5 hours),18000s (~5 hours),9000s (~2.5 hours)
00158,48946.6,25200s (~7 hours),18000s (~5 hours),10800s (~3 hours)
00159,40747.95,21600s (~6 hours),16200s (~4.5 hours),7200s (~2 hours)
00160,46369.95,23400s (~6.5 hours),21600s (~6 hours),7200s (~2 hours)
00161,39245.95000000001,21600s (~6 hours),18000s (~5 hours),7200s (~2 hours)
00162,67313.95,25200s (~7 hours),21600s (~6 hours),10800s (~3 hours)
00163,44579.55,23400s (~6.5 hours),23400s (~6.5 hours),5400s (~1.5 hours)
00164,46351.85,28800s (~8 hours),19800s (~5.5 hours),7200s (~2 hours)
