Sequence,dose,duration_above_250,duration_above_1000,duration_above_10000
0135,51697.15,23400s (~6.5 hours),18000s (~5 hours),7200s (~2 hours)
0136,45575.6,25200s (~7 hours),23400s (~6.5 hours),7200s (~2 hours)
0137,35594.5,21600s (~6 hours),18000s (~5 hours),5400s (~1.5 hours)
0138,47938.45,27000s (~7.5 hours),21600s (~6 hours),7200s (~2 hours)
0139,47638.1,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
0140,37812.45,18000s (~5 hours),18000s (~5 hours),5400s (~1.5 hours)
0141,42714.45,21600s (~6 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0142,42645.75,23400s (~6.5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
0143,43136.85,21600s (~6 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0144,33716.25,16200s (~4.5 hours),10800s (~3 hours),3600s (~1 hours)
0145,49394.04999999999,21600s (~6 hours),16200s (~4.5 hours),7200s (~2 hours)
0146,32299.55,23400s (~6.5 hours),16200s (~4.5 hours),7200s (~2 hours)
0147,40166.8,19800s (~5.5 hours),18000s (~5 hours),3600s (~1 hours)
0148,50094.79999999999,18000s (~5 hours),14400s (~4 hours),9000s (~2.5 hours)
0149,35250.5,21600s (~6 hours),14400s (~4 hours),7200s (~2 hours)
0150,49908.1,19800s (~5.5 hours),19800s (~5.5 hours),7200s (~2 hours)
0151,47604.7,28800s (~8 hours),19800s (~5.5 hours),7200s (~2 hours)
0152,51480.8,30600s (~8.5 hours),19800s (~5.5 hours),7200s (~2 hours)
0153,47167.65,25200s (~7 hours),18000s (~5 hours),9000s (~2.5 hours)
0154,40242.95,23400s (~6.5 hours),18000s (~5 hours),5400s (~1.5 hours)
0155,82925.8,21600s (~6 hours),21600s (~6 hours),12600s (~3.5 hours)
0156,39939.5,25200s (~7 hours),18000s (~5 hours),5400s (~1.5 hours)
0157,61840.1,25200s (~7 hours),21600s (~6 hours),9000s (~2.5 hours)
0158,28555.199999999997,19800s (~5.5 hours),14400s (~4 hours),1800s (~30 minutes)
0159,43405.1,21600s (~6 hours),14400s (~4 hours),5400s (~1.5 hours)
0160,66818.7,27000s (~7.5 hours),23400s (~6.5 hours),10800s (~3 hours)
0161,39012.4,27000s (~7.5 hours),16200s (~4.5 hours),5400s (~1.5 hours)
0162,53297.29999999999,21600s (~6 hours),18000s (~5 hours),10800s (~3 hours)
0163,35650.95,19800s (~5.5 hours),14400s (~4 hours),1800s (~30 minutes)
0164,55793.5,25200s (~7 hours),21600s (~6 hours),9000s (~2.5 hours)
0165,16927.15,19800s (~5.5 hours),14400s (~4 hours),0s
0166,22690.55,18000s (~5 hours),12600s (~3.5 hours),1800s (~30 minutes)
0167,50547.4,19800s (~5.5 hours),16200s (~4.5 hours),7200s (~2 hours)
0168,51435.05,27000s (~7.5 hours),21600s (~6 hours),9000s (~2.5 hours)
0169,52211.15,28800s (~8 hours),23400s (~6.5 hours),7200s (~2 hours)
0170,33472.799999999996,19800s (~5.5 hours),14400s (~4 hours),5400s (~1.5 hours)
0171,48129.9,19800s (~5.5 hours),16200s (~4.5 hours),10800s (~3 hours)
0172,27113.95,16200s (~4.5 hours),14400s (~4 hours),1800s (~30 minutes)
0173,40950.75,25200s (~7 hours),21600s (~6 hours),3600s (~1 hours)
0174,48556.45,19800s (~5.5 hours),14400s (~4 hours),7200s (~2 hours)
0175,77841.6,25200s (~7 hours),25200s (~7 hours),16200s (~4.5 hours)
0176,36534.75,25200s (~7 hours),18000s (~5 hours),1800s (~30 minutes)
0177,57338.6,28800s (~8 hours),25200s (~7 hours),7200s (~2 hours)
0178,39148.2,23400s (~6.5 hours),18000s (~5 hours),5400s (~1.5 hours)
0179,42938.85,19800s (~5.5 hours),18000s (~5 hours),5400s (~1.5 hours)
0180,63600.2,27000s (~7.5 hours),25200s (~7 hours),10800s (~3 hours)
0181,20394.2,18000s (~5 hours),18000s (~5 hours),0s
0182,63739.9,27000s (~7.5 hours),23400s (~6.5 hours),14400s (~4 hours)
0183,26542.4,19800s (~5.5 hours),16200s (~4.5 hours),1800s (~30 minutes)
0184,53512.75,21600s (~6 hours),16200s (~4.5 hours),9000s (~2.5 hours)
0185,56650.45,25200s (~7 hours),23400s (~6.5 hours),7200s (~2 hours)
0186,31360.4,19800s (~5.5 hours),14400s (~4 hours),5400s (~1.5 hours)
0187,39250.9,25200s (~7 hours),18000s (~5 hours),5400s (~1.5 hours)
0188,53955.29999999999,27000s (~7.5 hours),25200s (~7 hours),7200s (~2 hours)
0189,41064.45,23400s (~6.5 hours),18000s (~5 hours),5400s (~1.5 hours)
0190,30676.1,21600s (~6 hours),19800s (~5.5 hours),1800s (~30 minutes)
0191,22962.75,14400s (~4 hours),9000s (~2.5 hours),3600s (~1 hours)
0192,40781.95000000001,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
0193,33655.45,18000s (~5 hours),10800s (~3 hours),7200s (~2 hours)
0194,50098.05,19800s (~5.5 hours),16200s (~4.5 hours),7200s (~2 hours)
0195,50274.3,23400s (~6.5 hours),21600s (~6 hours),7200s (~2 hours)
0196,59027.4,21600s (~6 hours),19800s (~5.5 hours),10800s (~3 hours)
0197,31099.4,21600s (~6 hours),18000s (~5 hours),1800s (~30 minutes)
0198,53531.5,23400s (~6.5 hours),18000s (~5 hours),9000s (~2.5 hours)
0199,45576.6,25200s (~7 hours),21600s (~6 hours),7200s (~2 hours)
0200,62319.2,19800s (~5.5 hours),19800s (~5.5 hours),9000s (~2.5 hours)
0201,34962.450000000004,25200s (~7 hours),18000s (~5 hours),7200s (~2 hours)
0202,42002.1,23400s (~6.5 hours),19800s (~5.5 hours),7200s (~2 hours)
0203,41560.4,25200s (~7 hours),16200s (~4.5 hours),5400s (~1.5 hours)
0204,58898.04999999999,27000s (~7.5 hours),23400s (~6.5 hours),12600s (~3.5 hours)
0205,47136.35,23400s (~6.5 hours),21600s (~6 hours),5400s (~1.5 hours)
0206,42390.9,27000s (~7.5 hours),19800s (~5.5 hours),3600s (~1 hours)
0207,38300.3,25200s (~7 hours),21600s (~6 hours),1800s (~30 minutes)
0208,45543.65,27000s (~7.5 hours),21600s (~6 hours),7200s (~2 hours)
0209,17826.5,16200s (~4.5 hours),9000s (~2.5 hours),1800s (~30 minutes)
0210,40252.05,23400s (~6.5 hours),14400s (~4 hours),7200s (~2 hours)
0211,47916.65,21600s (~6 hours),18000s (~5 hours),9000s (~2.5 hours)
0212,60319.5,21600s (~6 hours),19800s (~5.5 hours),12600s (~3.5 hours)
0213,76010.25,27000s (~7.5 hours),21600s (~6 hours),14400s (~4 hours)
0214,66810.9,25200s (~7 hours),21600s (~6 hours),14400s (~4 hours)
0215,64823.65,25200s (~7 hours),23400s (~6.5 hours),16200s (~4.5 hours)
0216,62582.7,25200s (~7 hours),23400s (~6.5 hours),7200s (~2 hours)
0217,21526.05,16200s (~4.5 hours),10800s (~3 hours),1800s (~30 minutes)
0218,62622.35,27000s (~7.5 hours),27000s (~7.5 hours),10800s (~3 hours)
0219,81053.85,32400s (~9 hours),28800s (~8 hours),12600s (~3.5 hours)
0220,60031.2,28800s (~8 hours),23400s (~6.5 hours),9000s (~2.5 hours)
0221,72019.75,23400s (~6.5 hours),21600s (~6 hours),9000s (~2.5 hours)
0222,40870.29999999999,14400s (~4 hours),14400s (~4 hours),3600s (~1 hours)
0223,55536.45,27000s (~7.5 hours),23400s (~6.5 hours),10800s (~3 hours)
0224,43337.35,25200s (~7 hours),21600s (~6 hours),5400s (~1.5 hours)
0225,65192.4,30600s (~8.5 hours),23400s (~6.5 hours),10800s (~3 hours)
0226,44811.7,25200s (~7 hours),18000s (~5 hours),7200s (~2 hours)
0227,37645.3,27000s (~7.5 hours),19800s (~5.5 hours),5400s (~1.5 hours)
0228,30351.55,19800s (~5.5 hours),19800s (~5.5 hours),0s
0229,29985.1,18000s (~5 hours),18000s (~5 hours),3600s (~1 hours)
0230,64218.649999999994,18000s (~5 hours),16200s (~4.5 hours),7200s (~2 hours)
0231,59051.75,30600s (~8.5 hours),23400s (~6.5 hours),10800s (~3 hours)
0232,66536.4,23400s (~6.5 hours),19800s (~5.5 hours),10800s (~3 hours)
0233,55943.45,23400s (~6.5 hours),19800s (~5.5 hours),10800s (~3 hours)
0234,39026.8,19800s (~5.5 hours),18000s (~5 hours),7200s (~2 hours)
0235,53836.8,21600s (~6 hours),19800s (~5.5 hours),7200s (~2 hours)
0236,40944.3,18000s (~5 hours),16200s (~4.5 hours),7200s (~2 hours)
0237,50601.35,23400s (~6.5 hours),18000s (~5 hours),3600s (~1 hours)
0238,31066.25,19800s (~5.5 hours),14400s (~4 hours),5400s (~1.5 hours)
